country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6k,60.7k,42.6k,37.9k,36.8k,38.2k,41.5k,45.4k,49.6k,55.5k,52k,53.6k,
Cyprus,,,,,,,,,,,,,,,,,1150,1470,1750,2150,2580,2910,3370,3680,4280,4690,4940,5440,6030,6750,7480,7640,8620,8880,9690,11.2k,11.5k,11.8k,13.7k,13.4k,14k,15.1k,15.9k,17.2k,18k,19k,20.1k,21.4k,23.8k,23k,23.1k,24k,22.4k,20.7k,20k,21k,21.4k,22.9k,24k,24.9k,22.8k,24.4k,27.3k
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8k,115k,133k,153k,175k,188k,206k,215k,228k,245k,254k,268k,288k,307k,323k,351k,366k,352k,353k,356k,364k,369k,385k,409k,423k,455k,481k,510k,507k,558k,618k
Germany,,,,,,,,,,,5190,5750,6230,6910,7480,7880,8580,9150,9800,10.6k,11.3k,11.8k,12.3k,12.9k,13.7k,14.3k,15k,15.4k,16.3k,17.3k,18.6k,19.9k,21.2k,21.6k,22.5k,23.2k,23.5k,23.9k,24.4k,24.9k,25.5k,26.2k,26.4k,26.5k,27.6k,28k,29.4k,30.8k,31.3k,30.5k,32k,34.4k,35k,35.7k,36.9k,37.9k,39k,40.5k,42k,43.2k,42.2k,44.8k,47.6k
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137k,142k,142k,145k,145k,141k,137k,134k,135k,136k,136k,137k,142k,150k,156k,166k,179k,208k,211k,222k,237k,257k,369k,394k,423k,439k,450k,466k,496k,503k,532k,547k
Dominica,,,,,,,,,,,,,,,,,,1720,2120,2040,2700,3060,3340,3670,4010,4420,5030,5700,6500,6990,7640,8280,8860,9340,9890,10.2k,10.7k,11.2k,12k,12k,11.6k,12.5k,12.1k,12.5k,13.1k,13.2k,14.7k,15.8k,17.3k,18.7k,19k,19.3k,18.7k,18.8k,19.6k,20.1k,21.4k,20.1k,21.2k,22.7k,19.2k,20.7k,22.7k
Denmark,,,,,,,17.1k,18.6k,20.6k,23.3k,25.6k,28k,31.8k,36.9k,40.8k,45.7k,53k,58.8k,65.4k,72k,77k,83.6k,94.8k,105k,115k,125k,135k,142k,147k,154k,161k,167k,173k,175k,187k,194k,203k,213k,220k,231k,243k,252k,259k,264k,279k,295k,313k,320k,332k,315k,332k,339k,347k,355k,364k,369k,377k,389k,400k,409k,411k,442k,492k
Dominican Republic,201,186,228,253,268,227,242,247,251,277,330,362,429,485,587,705,754,840,868,987,1120,1180,1280,1350,1590,2290,2600,3180,4520,5790,8080,16.3k,18.8k,20.4k,22.8k,26k,28.2k,33k,36.9k,39.8k,44.1k,47.2k,52k,65.9k,95.1k,112k,129k,147k,168k,174k,196k,214k,228k,246k,271k,295k,317k,340k,376k,400k,386k,461k,535k
Algeria,1400,1270,923,1140,1180,1220,1140,1260,1420,1560,1700,1750,2090,2310,3620,3860,4390,4790,5650,6690,8290,9440,9920,10.9k,12.1k,12.8k,12.7k,13.3k,13.8k,16.4k,21k,30.5k,37.4k,41.1k,51.2k,66.2k,83.8k,90k,90.7k,102k,127k,132k,137k,158k,181k,218k,244k,271k,317k,280k,334k,395k,430k,429k,434k,412k,430k,452k,474k,468k,417k,491k,594k
Ecuador,369,333,305,359,429,442,437,447,438,514,459,428,480,562,930,1080,1220,1440,1510,1740,2120,2520,2210,1850,1750,1740,1500,1320,1180,1230,1340,1480,1570,1620,1920,2030,2050,2260,2200,1480,1350,1810,2090,2330,2570,2880,3210,3440,4160,4150,4570,5120,5590,5960,6280,6020,5960,6100,6150,6050,5490,5870,6300
Egypt,,,,,,72.9,76.8,77.9,76.2,78.5,91.3,94.1,98.3,106,116,134,165,196,224,278,333,337,456,528,610,683,778,962,1130,1360,1630,1930,2330,2540,2800,3200,3520,3990,4240,4420,4790,4980,5100,5490,6240,6790,7700,9140,10.8k,12.2k,13.6k,15k,17.9k,19.4k,21.8k,24.6k,26.8k,35.3k,43.9k,51.2k,55.6k,59.2k,68.3k
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,1230,1600,1740,1930,2150,2380,2400,2840,3450,3960,4500,5460,5910,6420,6890,7000,9180,7670,9790,,,,,,,,,,,
Spain,142,162,187,219,242,278,318,356,396,449,504,562,654,781,950,1100,1300,1640,1980,2300,2640,2930,3340,3780,4250,4740,5410,6040,6700,7520,8360,9150,9790,10.1k,10.6k,11.5k,12.1k,12.8k,13.6k,14.6k,15.9k,16.9k,17.9k,18.9k,19.8k,21k,22.2k,23.2k,23.5k,22.6k,22.7k,22.4k,21.9k,21.7k,22.1k,23.2k,24k,25k,25.8k,26.5k,23.7k,25.6k,27.9k
