country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Uruguay,0.00569,0.00683,0.00748,0.00881,0.0125,0.0203,0.0356,0.0603,0.132,0.177,0.211,0.246,0.405,1.11,1.55,2.69,4.1,6.46,9.95,19,30,39.9,41.8,55.3,83.3,147,278,521,918,1620,3360,7040,12.1k,18.3k,27.1k,37.6k,50k,69.2k,80.8k,82.8k,83.6k,84.1k,88k,98.5k,113k,124k,140k,164k,190k,214k,242k,280k,304k,353k,396k,444k,484k,515k,552k,607k,622k,703k,780k
USA,3020,3090,3270,3400,3600,3850,4170,4360,4730,5060,5240,5600,6100,6760,7260,7800,8570,9460,10.6k,11.6k,12.5k,14k,14.6k,15.5k,17.1k,18.1k,18.8k,19.9k,21.5k,22.7k,23.6k,24.1k,25.1k,25.9k,27.3k,28.4k,29.9k,31.5k,33.1k,34.7k,36.8k,37.7k,38.4k,39.8k,42.1k,44.6k,47.1k,48.3k,48.4k,47k,49k,50.9k,53.1k,54.4k,56.7k,58.2k,58.9k,61.2k,64.1k,66.3k,64.8k,71.1k,77.5k
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,232,2890,13.3k,23.9k,40.8k,58.5k,86.7k,130k,194k,290k,381k,472k,607k,793k,1.09M,1.51M,1.83M,2.81M,3.58M,4.34M,5.15M,6.16M,7.19M,8.1M,9.99M,13.3M,16.1M,17.7M,21.3M,25.2M
St. Vincent and the Grenadines,266,280,286,265,281,283,297,296,321,343,375,397,526,580,657,694,819,1260,1550,1780,2050,2530,2750,2950,3230,3480,3690,4140,4560,5000,5500,5830,6430,6610,6600,7200,7620,7920,8510,8790,9700,10.6k,11.2k,11.6k,12.5k,13.3k,15k,16.8k,17.4k,17.2k,17.5k,17.4k,18.1k,19.1k,18.7k,19.5k,20.6k,21.5k,22.6k,23.4k,22.3k,22.1k,24.1k
Venezuela,2.93,2.97,3.13,3.33,3.48,3.59,3.65,3.75,3.93,3.95,4.37,4.6,4.93,5.66,8.56,9,10,11.2,11.8,14,16.8,18.4,17.7,17,23.9,25.7,26.7,36.7,45.1,74.1,114,148,194,250,388,604,1270,1770,2070,2440,3220,3520,4130,5070,7860,11.2k,14.5k,18.2k,24.3k,24.8k,35k,45.5k,54k,72.9k,99.3k,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432k,587k,1.06M,1.53M,1.9M,2.4M,3.1M,3.6M,4.06M,4.57M,5.03M,5.51M,5.95M,6.54M,7.41M,8.53M,10.8M,12.4M,14.3M,18.3M,20M,30.4M,38.9M,44.2M,47.9M,52.1M,53.5M,57.2M,62.9M,70.1M,76.4M,79.7M,82.5M,92.2M
Vanuatu,,,,,,,,,,,,,,,,,,,,59.6k,59.9k,70.6k,72.6k,78.5k,95.8k,94.3k,92.8k,93.2k,102k,117k,130k,128k,128k,129k,137k,140k,147k,157k,177k,181k,186k,187k,173k,177k,182k,185k,208k,221k,255k,254k,256k,267k,254k,272k,282k,293k,306k,328k,349k,403k,375k,380k,400k
Samoa,,,,,,,,,,,,,,,,,,,,,,,683,813,877,916,978,1050,1150,1140,1220,1250,,,,,,,,,,,4870,5220,5770,6350,6820,7370,8280,8450,8610,8710,8670,8800,8830,9620,10.5k,10.5k,10.4k,10.8k,10.5k,9740,9470
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11k,12.3k,14.6k,17.1k,21.2k,30.8k,40.7k,47k,46k,59.7k,77.1k,80.8k,88.2k,97.7k,112k,136k,160k,178k,214k,202k,258k,255k,276k,307k,314k,333k,303k,333k,376k,,,,
South Africa,364,372,387,417,445,471,497,538,564,614,656,707,772,920,1090,1190,1300,1390,1550,1780,2280,2600,2900,3250,3690,4090,4610,5270,6130,7100,7900,8910,9840,11.1k,12.4k,13.9k,15.4k,16.9k,18.1k,19.5k,22k,24k,27.9k,30.3k,33.5k,36.8k,40.9k,45.6k,50.2k,53.5k,57.9k,62k,65.4k,70.1k,73.7k,77.3k,82.2k,87.2k,90.7k,94.2k,92.9k,102k,109k
Zambia,0.143,0.137,0.131,0.132,0.146,0.195,0.219,0.232,0.266,0.319,0.291,0.26,0.282,0.315,0.366,0.296,0.344,0.363,0.391,0.438,0.496,0.574,0.554,0.614,0.683,0.932,1.53,2.58,3.76,6.62,13.5,24.5,63.5,165,270,355,460,583,659,804,1080,1390,1690,2080,2490,2970,3490,4040,4810,5650,6570,7600,8750,9530,10.4k,11.1k,12.5k,13.6k,15.2k,16.1k,17.1k,20.8k,23.8k
Zimbabwe,226,219,210,203,179,238,239,268,277,316,336,370,443,536,617,650,612,601,606,702,811,956,908,800,662,555,560,578,655,702,695,644,465,460,459,456,581,521,340,390,369,391,384,357,327,326,278,237,124,695,863,961,1150,1270,1250,1240,1250,1330,4530,13.6k,86k,195k,558k
